Friends,Landlord,Self,Spouse,Government,Family,ID
1,0,0,1,0,1,0
1,0,0,1,0,0,1
1,0,0,1,0,0,2
0,0,0,1,0,0,3
1,0,0,1,0,1,4
0,0,0,1,0,1,5
0,0,0,1,0,1,6
1,0,0,1,0,1,7
0,0,0,1,0,1,8
1,0,0,0,0,1,9
1,0,0,1,0,1,10
0,0,0,1,0,0,11
0,0,0,1,0,1,12
1,0,0,1,0,1,13
0,0,0,0,0,1,14
1,0,0,1,0,1,15
1,0,0,1,0,1,16
0,0,0,1,0,0,17
0,0,0,1,0,1,18
0,0,0,1,0,0,19
1,0,0,1,0,1,20
1,1,0,1,1,1,21
0,0,0,0,0,1,22
1,0,0,1,0,1,23
0,0,0,1,0,0,24
0,0,0,1,0,1,25
0,0,0,1,1,1,26
0,0,0,1,0,1,27
1,0,0,1,0,1,28
0,0,0,1,0,0,29
1,0,0,1,0,1,30
0,0,0,1,0,0,31
1,0,0,1,0,1,32
1,0,0,1,0,1,33
0,0,0,1,0,1,34
0,0,0,1,0,0,35
1,1,0,1,0,1,36
0,0,0,0,0,0,37
1,0,0,1,0,1,38
0,0,0,1,0,1,39
0,0,0,1,0,0,40
1,0,0,1,0,0,41
1,0,0,1,0,1,42
1,0,0,1,0,0,43
1,0,0,0,0,0,44
0,0,0,1,0,0,45
1,0,0,1,0,1,46
0,0,0,1,0,1,47
1,0,0,1,0,1,48
0,0,0,1,0,0,49
0,0,0,0,0,0,50
1,0,0,1,0,1,51
0,0,0,1,0,0,52
0,0,0,1,0,0,53
0,0,0,1,0,1,54
1,0,0,1,0,1,55
0,0,1,0,0,0,56
1,0,0,1,0,1,57
0,0,0,1,0,1,58
0,0,0,0,0,0,59
0,0,0,1,0,1,60
1,0,0,1,0,1,61
1,0,0,1,0,0,62
1,0,0,1,0,1,63
1,0,0,1,0,1,64
1,0,0,1,0,1,65
0,0,0,0,0,1,66
0,0,0,1,0,0,67
1,0,0,1,0,1,68
0,0,0,0,0,1,69
1,0,0,0,0,1,70
0,0,0,0,0,1,71
0,0,0,0,0,0,72
0,0,0,0,0,1,73
0,0,0,0,0,1,74
1,0,0,0,0,1,75
0,0,0,1,0,0,76
